CustomerID,Name,Email,Address
1,Randy Curry,charlescarter@example.net,"544 Russell Throughway, Chandlerstad, PR 17492"
2,Amber Wilson,medinajames@example.net,"9128 Garrett Spurs, Alexanderland, FM 98828"
3,Michael Evans,kevin68@example.com,"761 Kristine Meadows Suite 398, Hardyton, NE 84517"
4,Calvin Boyle,woodkaren@example.net,"1607 Sloan Spurs Apt. 022, Danielport, VI 24812"
5,John Woods,tmcguire@example.com,"PSC 5026, Box 6119, APO AP 69142"
6,Michael Brown,robertopratt@example.com,"84841 Zuniga Tunnel, East Steven, OR 42371"
7,Gregory Shannon,samantha58@example.net,"197 Erika Expressway, Port William, OK 10771"
8,Shane Harris,daytina@example.org,"4726 Katherine Island Apt. 168, East Tiffanyton, NE 58901"
9,Carla Gomez,james66@example.net,"4310 Keith Locks, East Nicole, KY 69573"
10,Frank Love,katherinecobb@example.com,"333 Rodney Mount, Hamiltonport, AL 87296"
11,Renee Nguyen,dtucker@example.net,"Unit 0991 Box 3102, DPO AE 69793"
12,Brenda Thomas,crystal06@example.com,"Unit 6588 Box 6302, DPO AP 66496"
13,Paul Lewis,oalvarez@example.org,"971 Moore Brook Apt. 671, Wrightburgh, NM 37696"
14,Michael Stephenson,jesus12@example.com,"0365 Alvarado Brooks Suite 298, New Andrewburgh, PA 42171"
15,Julie Martinez,jreyes@example.com,"8533 Emily Station, Joshuastad, MP 07428"
16,Michael Bell,yrodriguez@example.com,"51007 Rowe Course, South Deborah, AR 72519"
17,Jonathan Bush,shawnmalone@example.org,"90503 Tom Knolls, Walkerfort, MO 41391"
18,Manuel Ramirez,emcgee@example.net,"857 Emily Pines Suite 435, Christophershire, LA 94250"
19,Nicole Lee,swansonalison@example.com,"3956 Felicia Terrace Apt. 413, Port Andrewchester, VI 01122"
20,Christopher Bowers,sharonjohnson@example.net,"67530 Flowers Cliff, North Erin, RI 45975"
21,Matthew Anderson,finleymichael@example.org,"81736 Jeremy Flat, North Christyfort, PA 95965"
22,Willie Reese,mturner@example.org,"1657 Jones Glen, Combschester, NM 84324"
23,Thomas Brown,vconway@example.org,"518 Parks Circles, East Jeanneborough, PW 93539"
24,Robin Peterson,diazdebbie@example.com,"26801 Sonia Points, Pamelahaven, FM 67099"
25,Kyle Ray,clairewhite@example.org,"USNV Edwards, FPO AE 84904"
26,Steven Wood,anna18@example.com,"6265 Morgan Canyon, Longborough, CA 51599"
27,Mr. Nicholas Peterson,hannahbell@example.net,"7403 Cory Port, Nicholsberg, VT 79044"
28,Christopher Miller,christopher00@example.net,"112 Antonio Corners, Petersborough, CT 42250"
29,Tracy King,cynthia01@example.net,"821 Nathan Plain, Port Carrieview, VA 65324"
30,Nancy Collins,gary61@example.org,"23773 Matthew Lane Suite 923, Randyhaven, ID 31461"
31,Jeffrey Green,jenkinsdaniel@example.com,"6797 Ray Centers, Williamville, FL 26409"
32,Denise Hutchinson,allisonmiller@example.com,"1542 Scott Square Suite 457, East Lisa, NY 10477"
33,Laura Patterson,robertswanson@example.net,"735 Beverly Inlet Apt. 380, Brianville, AK 71200"
34,Scott Walters,chelsearichard@example.com,"30043 Emily Mountain Apt. 601, South Mitchellbury, UT 65411"
35,Ronald Bradford,kellywheeler@example.com,"Unit 5518 Box 1989, DPO AA 67707"
36,Kelly Wagner,zacharyhernandez@example.org,"4948 Davis Wells Apt. 269, New Heathertown, NE 46977"
37,Danielle Bell,teresa78@example.org,"5530 Aaron Court, Lake Valeriemouth, ID 91977"
38,Alisha Robinson,hschmidt@example.net,"859 Elizabeth Spurs, Lake Ericabury, GA 98339"
39,Ashley Hull,mbanks@example.com,"867 Garcia Mews, East Paulberg, AS 33494"
40,Carlos Villanueva,nroberts@example.org,"PSC 2858, Box 2611, APO AE 40912"
41,Christopher Rowland,fisherandrew@example.net,"511 Dixon Fields, Joshuaton, ND 69732"
42,Stephanie Hopkins,jeffreyanderson@example.net,"8067 Russell Square Suite 739, Wayneburgh, GU 73428"
43,Deborah Lane,jodavis@example.net,"56993 King Throughway Apt. 003, New Justinburgh, PW 83174"
44,Douglas Rodriguez,elizabeth07@example.com,"9172 Kelsey Rapid Apt. 924, East Marissa, ID 77692"
45,Diane Decker,rcain@example.com,"0392 David Prairie, Cunninghamhaven, PR 52751"
46,Corey Smith,ubrown@example.net,"670 Hall Dale, South Terrichester, AR 41848"
47,Christian Henderson,mcdanielkenneth@example.org,"96189 Christopher Throughway, New Dylan, MS 71329"
48,Laura Roberts,james08@example.org,"7961 Petty Oval, Michaelport, RI 51156"
49,Tiffany Johnson,jacksonbradley@example.net,"0311 Ashley Turnpike, New Meganhaven, MA 56646"
